"","Price"
"3/15/2024 0:00","69532.18"
"3/14/2024 0:00","71432.39"
"3/13/2024 0:00","73087.95"
"3/12/2024 0:00","71473.86"
"3/11/2024 0:00","72094.44"
"3/10/2024 0:00","68949.74"
"3/9/2024 0:00","68513.59"
"3/8/2024 0:00","68202.87"
"3/7/2024 0:00","66903.82"
"3/6/2024 0:00","66137.13"
"3/5/2024 0:00","63971.07"
"3/4/2024 0:00","68208.36"
"3/3/2024 0:00","63099.99"
"3/2/2024 0:00","62004.02"
"3/1/2024 0:00","62481.07"
"2/29/2024 0:00","61256.01"
"2/28/2024 0:00","62497.28"
"2/27/2024 0:00","57029.24"
"2/26/2024 0:00","54454.91"
"2/25/2024 0:00","51743.97"
"2/24/2024 0:00","51549.1"
"2/23/2024 0:00","50830.04"
"2/22/2024 0:00","51339.49"
"2/21/2024 0:00","51833"
"2/20/2024 0:00","52278.15"
"2/19/2024 0:00","51739.37"
"2/18/2024 0:00","52119.06"
"2/17/2024 0:00","51673.99"
"2/16/2024 0:00","52121.96"
"2/15/2024 0:00","51888.33"
"2/14/2024 0:00","51819.74"
"2/13/2024 0:00","49741.98"
"2/12/2024 0:00","50017.36"
"2/11/2024 0:00","48269.68"
"2/10/2024 0:00","47760.23"
"2/9/2024 0:00","47093.93"
"2/8/2024 0:00","45315.99"
"2/7/2024 0:00","44328.04"
"2/6/2024 0:00","43105.15"
"2/5/2024 0:00","42713.66"
"2/4/2024 0:00","42609.98"
"2/3/2024 0:00","42970.67"
"2/2/2024 0:00","43189.15"
"2/1/2024 0:00","43069.45"
"1/31/2024 0:00","42611.24"
"1/30/2024 0:00","42915.56"
"1/29/2024 0:00","43269.41"
"1/28/2024 0:00","42018.7"
"1/27/2024 0:00","42112.7"
"1/26/2024 0:00","41866.1"
"1/25/2024 0:00","39929.16"
"1/24/2024 0:00","40145.83"
"1/23/2024 0:00","39873.77"
"1/22/2024 0:00","39516.98"
"1/21/2024 0:00","41549.91"
"1/20/2024 0:00","41668.99"
"1/19/2024 0:00","41627.16"
"1/18/2024 0:00","41296.92"
"1/17/2024 0:00","42764.71"
"1/16/2024 0:00","43137.2"
"1/15/2024 0:00","42611.43"
"1/14/2024 0:00","41737.9"
"1/13/2024 0:00","42840.02"
"1/12/2024 0:00","42896.05"
"1/11/2024 0:00","46356.96"
"1/10/2024 0:00","46564.21"
"1/9/2024 0:00","46082.08"
"1/8/2024 0:00","46900.01"
"1/7/2024 0:00","43850.46"
"1/6/2024 0:00","43941.78"
"1/5/2024 0:00","44112.11"
"1/4/2024 0:00","44188.15"
"1/3/2024 0:00","42818.03"
"1/2/2024 0:00","44957.63"
"1/1/2024 0:00","44122.03"
"12/31/2023 0:00","42224.09"
"12/30/2023 0:00","42198.85"
"12/29/2023 0:00","42057.41"
"12/28/2023 0:00","42592.06"
"12/27/2023 0:00","43384.25"
"12/26/2023 0:00","42519.8"
"12/25/2023 0:00","43613.88"
"12/24/2023 0:00","43017.9"
"12/23/2023 0:00","43727.32"
"12/22/2023 0:00","43948.89"
"12/21/2023 0:00","43849.41"
"12/20/2023 0:00","43645.95"
"12/19/2023 0:00","42300.16"
"12/18/2023 0:00","42666.06"
"12/17/2023 0:00","41448.75"
"12/16/2023 0:00","42244.61"
"12/15/2023 0:00","41953.42"
"12/14/2023 0:00","43004.17"
"12/13/2023 0:00","42906.87"
"12/12/2023 0:00","41512.61"
"12/11/2023 0:00","41221.12"
"12/10/2023 0:00","43762.68"
"12/9/2023 0:00","43701.25"
"12/8/2023 0:00","44199.33"
"12/7/2023 0:00","43249.99"
"12/6/2023 0:00","43714.53"
"12/5/2023 0:00","44085.68"
"12/4/2023 0:00","41995.8"
"12/3/2023 0:00","39941.07"
"12/2/2023 0:00","39460"
"12/1/2023 0:00","38658.06"
"11/30/2023 0:00","37715.02"
"11/29/2023 0:00","37808.01"
"11/28/2023 0:00","37776.89"
"11/27/2023 0:00","37268.83"
"11/26/2023 0:00","37478.11"
"11/25/2023 0:00","37785.84"
"11/24/2023 0:00","37710.8"
"11/23/2023 0:00","37294.4"
"11/22/2023 0:00","37448.77"
"11/21/2023 0:00","35942.19"
"11/20/2023 0:00","37465.89"
"11/19/2023 0:00","37388.51"
"11/18/2023 0:00","36559.41"
"11/17/2023 0:00","36514.01"
"11/16/2023 0:00","36223.54"
"11/15/2023 0:00","37863.66"
"11/14/2023 0:00","35540.04"
"11/13/2023 0:00","36531.68"
"11/12/2023 0:00","37035.03"
"11/11/2023 0:00","37082.17"
"11/10/2023 0:00","37321.14"
"11/9/2023 0:00","36775.23"
"11/8/2023 0:00","35680.29"
"11/7/2023 0:00","35423.24"
"11/6/2023 0:00","35019.43"
"11/5/2023 0:00","35022.44"
"11/4/2023 0:00","35019.68"
"11/3/2023 0:00","34730.03"
"11/2/2023 0:00","34918.05"
"11/1/2023 0:00","35428.26"
"10/31/2023 0:00","34650.03"
"10/30/2023 0:00","34486.77"
"10/29/2023 0:00","34535.58"
"10/28/2023 0:00","34088.4"
"10/27/2023 0:00","33910.02"
"10/26/2023 0:00","34148.86"
"10/25/2023 0:00","34464.23"
"10/24/2023 0:00","33856"
"10/23/2023 0:00","32941.46"
"10/22/2023 0:00","29965.01"
"10/21/2023 0:00","29894.16"
"10/20/2023 0:00","29665.02"
"10/19/2023 0:00","28695.97"
"10/18/2023 0:00","28322.73"
"10/17/2023 0:00","28407.42"
"10/16/2023 0:00","28502.1"
"10/15/2023 0:00","27146.62"
"10/14/2023 0:00","26858.7"
"10/13/2023 0:00","26841.72"
"10/12/2023 0:00","26738.45"
"10/11/2023 0:00","26844.46"
"10/10/2023 0:00","27390.34"
"10/9/2023 0:00","27584.1"
"10/8/2023 0:00","27932.44"
"10/7/2023 0:00","27958.62"
"10/6/2023 0:00","27933"
"10/5/2023 0:00","27422.6"
"10/4/2023 0:00","27778.6"
"10/3/2023 0:00","27419.23"
"10/2/2023 0:00","27609.13"
"10/1/2023 0:00","27978.1"
"9/30/2023 0:00","26967.11"
"9/29/2023 0:00","26910.69"
"9/28/2023 0:00","27020.31"
"9/27/2023 0:00","26368.04"
