,Price
2024/02/26 00:00:00,54454.910
2024/02/25 00:00:00,51743.970
2024/02/24 00:00:00,51549.100
2024/02/23 00:00:00,50830.040
2024/02/22 00:00:00,51339.490
2024/02/21 00:00:00,51833.000
2024/02/20 00:00:00,52278.150
2024/02/19 00:00:00,51739.370
2024/02/18 00:00:00,52119.060
2024/02/17 00:00:00,51673.990
2024/02/16 00:00:00,52121.960
2024/02/15 00:00:00,51888.330
2024/02/14 00:00:00,51819.740
2024/02/13 00:00:00,49741.980
2024/02/12 00:00:00,50017.360
2024/02/11 00:00:00,48269.680
2024/02/10 00:00:00,47760.230
2024/02/09 00:00:00,47093.930
2024/02/08 00:00:00,45315.990
2024/02/07 00:00:00,44328.040
2024/02/06 00:00:00,43105.150
2024/02/05 00:00:00,42713.660
2024/02/04 00:00:00,42609.980
2024/02/03 00:00:00,42970.670
2024/02/02 00:00:00,43189.150
2024/02/01 00:00:00,43069.450
2024/01/31 00:00:00,42611.240
2024/01/30 00:00:00,42915.560
2024/01/29 00:00:00,43269.410
2024/01/28 00:00:00,42018.700
2024/01/27 00:00:00,42112.700
2024/01/26 00:00:00,41866.100
2024/01/25 00:00:00,39929.160
2024/01/24 00:00:00,40145.830
2024/01/23 00:00:00,39873.770
2024/01/22 00:00:00,39516.980
2024/01/21 00:00:00,41549.910
2024/01/20 00:00:00,41668.990
2024/01/19 00:00:00,41627.160
2024/01/18 00:00:00,41296.920
2024/01/17 00:00:00,42764.710
2024/01/16 00:00:00,43137.200
2024/01/15 00:00:00,42611.430
2024/01/14 00:00:00,41737.900
2024/01/13 00:00:00,42840.020
2024/01/12 00:00:00,42896.050
2024/01/11 00:00:00,46356.960
2024/01/10 00:00:00,46564.210
2024/01/09 00:00:00,46082.080
2024/01/08 00:00:00,46900.010
2024/01/07 00:00:00,43850.460
2024/01/06 00:00:00,43941.780
2024/01/05 00:00:00,44112.110
2024/01/04 00:00:00,44188.150
2024/01/03 00:00:00,42818.030
2024/01/02 00:00:00,44957.630
2024/01/01 00:00:00,44122.030
2023/12/31 00:00:00,42224.090
2023/12/30 00:00:00,42198.850
2023/12/29 00:00:00,42057.410
2023/12/28 00:00:00,42592.060
2023/12/27 00:00:00,43384.250
2023/12/26 00:00:00,42519.800
2023/12/25 00:00:00,43613.880
2023/12/24 00:00:00,43017.900
2023/12/23 00:00:00,43727.320
2023/12/22 00:00:00,43948.890
2023/12/21 00:00:00,43849.410
2023/12/20 00:00:00,43645.950
2023/12/19 00:00:00,42300.160
2023/12/18 00:00:00,42666.060
2023/12/17 00:00:00,41448.750
2023/12/16 00:00:00,42244.610
2023/12/15 00:00:00,41953.420
2023/12/14 00:00:00,43004.170
2023/12/13 00:00:00,42906.870
2023/12/12 00:00:00,41512.610
2023/12/11 00:00:00,41221.120
2023/12/10 00:00:00,43762.680
2023/12/09 00:00:00,43701.250
2023/12/08 00:00:00,44199.330
2023/12/07 00:00:00,43249.990
2023/12/06 00:00:00,43714.530
2023/12/05 00:00:00,44085.680
2023/12/04 00:00:00,41995.800
2023/12/03 00:00:00,39941.070
2023/12/02 00:00:00,39460.000
2023/12/01 00:00:00,38658.060
2023/11/30 00:00:00,37715.020
2023/11/29 00:00:00,37808.010
2023/11/28 00:00:00,37776.890
2023/11/27 00:00:00,37268.830
2023/11/26 00:00:00,37478.110
2023/11/25 00:00:00,37785.840
2023/11/24 00:00:00,37710.800
2023/11/23 00:00:00,37294.400
2023/11/22 00:00:00,37448.770
2023/11/21 00:00:00,35942.190
2023/11/20 00:00:00,37465.890
2023/11/19 00:00:00,37388.510
2023/11/18 00:00:00,36559.410
2023/11/17 00:00:00,36514.010
2023/11/16 00:00:00,36223.540
2023/11/15 00:00:00,37863.660
2023/11/14 00:00:00,35540.040
2023/11/13 00:00:00,36531.680
2023/11/12 00:00:00,37035.030
2023/11/11 00:00:00,37082.170
2023/11/10 00:00:00,37321.140
2023/11/09 00:00:00,36775.230
2023/11/08 00:00:00,35680.290
2023/11/07 00:00:00,35423.240
2023/11/06 00:00:00,35019.430
2023/11/05 00:00:00,35022.440
2023/11/04 00:00:00,35019.680
2023/11/03 00:00:00,34730.030
2023/11/02 00:00:00,34918.050
2023/11/01 00:00:00,35428.260
2023/10/31 00:00:00,34650.030
2023/10/30 00:00:00,34486.770
2023/10/29 00:00:00,34535.580
2023/10/28 00:00:00,34088.400
2023/10/27 00:00:00,33910.020
2023/10/26 00:00:00,34148.860
2023/10/25 00:00:00,34464.230
2023/10/24 00:00:00,33856.000
2023/10/23 00:00:00,32941.460
2023/10/22 00:00:00,29965.010
2023/10/21 00:00:00,29894.160
2023/10/20 00:00:00,29665.020
2023/10/19 00:00:00,28695.970
2023/10/18 00:00:00,28322.730
2023/10/17 00:00:00,28407.420
2023/10/16 00:00:00,28502.100
2023/10/15 00:00:00,27146.620
2023/10/14 00:00:00,26858.700
2023/10/13 00:00:00,26841.720
2023/10/12 00:00:00,26738.450
2023/10/11 00:00:00,26844.460
2023/10/10 00:00:00,27390.340
2023/10/09 00:00:00,27584.100
